Cast,Country,Date Added,Description,Director,Duration (In minutes),Genre,Month Added,Rating,Release Year,Seasons,Show Id,Title,Type,Year,Number of Records
"Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace, Bryce Dallas Howard, Rosemary Harris, J.K. Simmons, James Cromwell, Theresa Russell, Dylan Baker, Bill Nunn, Bruce Campbell, Elizabeth Banks",United States,11/1/2019 12:00:00 AM,The seemingly invincible Spider-Man goes up against an all-new crop of villains in the third installment of the blockbuster adventure series.,Sam Raimi,139,"Action & Adventure, Sci-Fi & Fantasy",11,PG-13,2007,,70047101,Spider-Man 3,Movie,2019,1
"Mike Myers, Jessica Alba, Justin Timberlake, Ben Kingsley, Romany Malco, Meagan Good, Verne Troyer, Omid Djalili, Telma Hopkins","United Kingdom, Germany, United States",11/20/2019 12:00:00 AM,"Raised on an ashram in India, a self-styled love guru returns to his native America to settle a romantic rivalry between two pro hockey players.",Marco Schnabel,87,"Comedies, Sports Movies",11,PG-13,2008,,70087538,The Love Guru,Movie,2019,1
"Dennis Quaid, Matthew Fox, Forest Whitaker, Bruce McGill, Edgar Ramírez, Saïd Taghmaoui, Ayelet Zurer, Zoe Saldana, Sigourney Weaver, William Hurt",United States,11/1/2019 12:00:00 AM,"Moments after he arrives in Spain for an antiterrorism summit, U.S. President Ashton is shot.",Pete Travis,90,Action & Adventure,11,PG-13,2008,,70060005,Vantage Point,Movie,2019,1
"Emma Roberts, Kimberley Nixon, Juno Temple, Linzey Cocker, Sophie Wu, Alex Pettyfer, Georgia King, Natasha Richardson, Aidan Quinn, Lexi Ainsworth","United States, United Kingdom, France",11/1/2019 12:00:00 AM,"When a spoiled girl pushes her father too far with her spending and outlandish behavior, he ships the Malibu princess off to a strict boarding school.",Nick Moore,98,"Comedies, Romantic Movies",11,PG-13,2008,,70084791,Wild Child,Movie,2019,1
"Diane Keaton, Queen Latifah, Katie Holmes, Ted Danson, Roger Cross, Adam Rothenberg, Stephen Root, Christopher McDonald, Meagen Fay, J.C. MacKenzie, Finesse Mitchell, Eric Keenleyside",United States,11/1/2019 12:00:00 AM,A woman joins the janitorial staff of the Federal Reserve Bank and conspires with two co-workers to pilfer old money that's scheduled to be destroyed.,"Callie Khouri, Jesse V. Johnson",99,Comedies,11,PG-13,2008,,70082264,Mad Money,Movie,2019,1
"Lou Taylor Pucci, Chris Pine, Piper Perabo, Emily VanCamp, Christopher Meloni, Kiernan Shipka, Ron McClary, Mark Moses",United States,11/20/2019 12:00:00 AM,"As a lethal virus spreads globally, four friends seek a reputed plague-free haven. But while avoiding the infected, the travelers turn on one another.","Àlex Pastor, David Pastor",85,"Horror Movies, Sci-Fi & Fantasy, Thrillers",11,PG-13,2009,,70122722,Carriers,Movie,2019,1
"Morgan Freeman, Matt Damon, Tony Kgoroge, Patrick Mofokeng, Matt Stern, Julian Lewis Jones, Adjoa Andoh, Marguerite Wheatley, Leleti Khumalo, Patrick Lyster, Penny Downie",United States,11/1/2019 12:00:00 AM,"After the end of apartheid, newly elected President Nelson Mandela uses the 1995 World Cup rugby matches to unite his people in South Africa.",Clint Eastwood,134,"Dramas, Sports Movies",11,PG-13,2009,,70118779,Invictus,Movie,2019,1
"Matt Dillon, Paul Walker, Chris Brown, Idris Elba, Jay Hernandez, Hayden Christensen, Michael Ealy, T.I., Marianne Jean-Baptiste, Zoe Saldana, Steve Harris, Johnathon Schaech",United States,11/3/2019 12:00:00 AM,A motley crew of bank robbers plans their next heist after a former colleague convinces them to target an armored car carrying $20 million.,John Luessenhop,107,Action & Adventure,11,PG-13,2010,,70117294,Takers,Movie,2019,1
"Sara Paxton, Dustin Milligan, Chris Carmack, Katharine McPhee, Donal Logue, Joshua Leonard, Sinqua Walls, Chris Zylka, Alyssa Diaz, Joel David Moore",United States,11/2/2019 12:00:00 AM,A weekend of beach-house debauchery turns into a nightmare for a group of friends when they discover that the waters are infested with vicious sharks.,David R. Ellis,91,Horror Movies,11,PG-13,2011,,70178618,Shark Night,Movie,2019,1
"Carey Mulligan, Helena Bonham Carter, Brendan Gleeson, Anne-Marie Duff, Ben Whishaw, Romola Garai, Meryl Streep, Finbar Lynch, Natalie Press, Samuel West, Geoff Bell, Amanda Lawrence, Shelley Longworth","United Kingdom, France",11/16/2019 12:00:00 AM,"At the beginning of the 20th century, circumstances drive a young, idealistic suffragette to find radical approaches to fighting male oppression.",Sarah Gavron,107,"Dramas, International Movies",11,PG-13,2015,,80046819,Suffragette,Movie,2019,1
"Eugenio Derbez, Salma Hayek, Rob Lowe, Raphael Alejandro, Kristen Bell, Raquel Welch, Linda Lavin, Renée Taylor, Rob Riggle, Rob Corddry, Rob Huebel, Michael Cera, Michaela Watkins","Mexico, United States",11/1/2019 12:00:00 AM,"When an aging Lothario gets the boot from his sugar mama, he must pull out all the stops to find a new female sponsor.",Ken Marino,116,Comedies,11,PG-13,2017,,80153894,How to Be a Latin Lover,Movie,2019,1
"Isabela Moner, Shameik Moore, Kiernan Shipka, Odeya Rush, Liv Hewson, Mitchell Hope, Jacob Batalon, Joan Cusack, Matthew Noszka, Anna Akana, Miles Robbins, D'Arcy Carden, Mason Gooding, Andrea De Oliveira, Victor Rivers",United States,11/8/2019 12:00:00 AM,"A snowstorm hits a small town on a cold Christmas Eve, affecting the friendships, love lives and futures of several high school seniors.",Luke Snellin,93,"Comedies, Dramas, LGBTQ Movies",11,PG-13,2019,,80201542,Let It Snow,Movie,2019,1
"James Mason, Shelley Winters, Peter Sellers, Sue Lyon, Gary Cockrell, Jerry Stovin, Diana Decker, Lois Maxwell, Cec Linder","United Kingdom, United States",11/1/2019 12:00:00 AM,"In this black comedy, an English professor marries his landlady to get closer to his forbidden obsession: her teenage daughter.",Stanley Kubrick,153,"Classic Movies, Dramas, Romantic Movies",11,R,1962,,709380,Lolita,Movie,2019,1
"Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer, Maurice Evans, Ralph Bellamy, Patsy Kelly, Elisha Cook Jr., Emmaline Henry, Charles Grodin",United States,11/1/2019 12:00:00 AM,"A woman is thrilled to find out she's pregnant. But as her belly grows, the more certain she becomes that her unborn child is in serious danger.",Roman Polanski,137,"Classic Movies, Horror Movies, Thrillers",11,R,1968,,60002403,Rosemary's Baby,Movie,2019,1
"Ron O'Neal, Carl Lee, Sheila Frazier, Julius Harris, Charles McGregor, Nate Adams, Polly Niles, Yvonne Delaine",United States,11/1/2019 12:00:00 AM,"To get away from the thug life, cocaine dealer Youngblood Priest puts together one last deal that will net him enough money to start over.",Gordon Parks,91,"Action & Adventure, Classic Movies, Dramas",11,R,1972,,60033247,Superfly,Movie,2019,1
"Jimi Hendrix, Eric Clapton, Billy Cox",United States,11/1/2019 12:00:00 AM,"Jimi Hendrix's family, friends, and fellow musicians discuss his life and influence. Hendrix also appears in classic performance footage.",Joe Boyd,102,"Documentaries, Music & Musicals",11,R,1973,,653673,Jimi Hendrix,Movie,2019,1
"Bruce Lee, John Saxon, Jim Kelly, Ahna Capri, Kien Shih, Robert Wall, Angela Mao, Betty Chung, Geoffrey Weeks, Bolo Yeung, Peter Archer","Hong Kong, United States",11/1/2019 12:00:00 AM,"Recruited by a British agent, Shaolin master Lee infiltrates a remote island and a brutal martial arts tournament to spy on a sinister crime lord.",Robert Clouse,103,"Action & Adventure, Classic Movies",11,R,1973,,60036838,Enter the Dragon,Movie,2019,1
"Burt Reynolds, Eddie Albert, Ed Lauter, James Hampton, Charles Tyner, Bernadette Peters, Richard Kiel, Joe Dorsey, Joe Jackson, Harry Caesar, John Steadman, Jim Nicholson, Tony Cacciotti",United States,11/20/2019 12:00:00 AM,Washed-up professional quarterback Paul Crewe is sent to jail and forced to put together an inmate gridiron team to take on a group of prison guards.,Robert Aldrich,121,"Classic Movies, Comedies, Sports Movies",11,R,1974,,60004083,The Longest Yard,Movie,2019,1
"Anthony Barille, Michael Boatman, Don Cheadle, Michael Dolan, Don James, Dylan McDermott, Michael A. Nickles, Harry O'Reilly, Daniel O'Shea, Tim Quill, Tommy Swerdlow, Courtney B. Vance, Steven Weber, Tegan West",United States,11/23/2019 12:00:00 AM,The Vietnam War's horrors come brutally to life through the eyes of American soldiers trying to take a heavily fortified hill under Vietcong control.,John Irvin,110,"Action & Adventure, Dramas",11,R,1987,,569355,Hamburger Hill,Movie,2019,1
"Bruce Willis, Damon Wayans, Chelsea Field, Noble Willingham, Taylor Negron, Danielle Harris, Halle Berry, Bruce McGill",United States,11/1/2019 12:00:00 AM,Private eye Joe Hallenbeck is forced to team up with a disgraced quarterback to uncover a conspiracy by a politician and a football team owner.,Tony Scott,105,"Action & Adventure, Comedies",11,R,1991,,684847,The Last Boy Scout,Movie,2019,1
"Marco Leonardi, Lumi Cavazos, Regina Torné, Mario Iván Martínez, Ada Carrasco, Yareli Arizmendi, Claudette Maillé, Pilar Aranda",Mexico,11/1/2019 12:00:00 AM,"When Pedro marries her sister, Tita throws herself into her cooking – and discovers she can transfer her emotions through the food she prepares.",Alfonso Arau,105,"Classic Movies, Dramas, International Movies",11,R,1992,,701346,Like Water for Chocolate,Movie,2019,1
"Jackie Chan, Anita Mui, Françoise Yip, Bill Tung, Marc Akerstream, Garvin Cross, Morgan Lam, Ailen Sit",Hong Kong,11/1/2019 12:00:00 AM,"During a visit to the Bronx to help out at his uncle's store, a cheerful martial arts expert springs into action when a gang terrorizes the shop.",Stanley Tong,89,"Action & Adventure, Comedies, International Movies",11,R,1995,,923574,Rumble in the Bronx,Movie,2019,1
"Josh Hamilton, Olivia d'Abo, Carlos Jacott, Chris Eigeman, Eric Stoltz, Jason Wiles, Parker Posey, Cara Buono, Elliott Gould, Samuel Gould",United States,11/4/2019 12:00:00 AM,"After graduating, four college roomies – petrified by the prospect of facing ""real life"" – reluctantly step into adulthood in this ensemble comedy.",Noah Baumbach,97,"Comedies, Independent Movies, Romantic Movies",11,R,1995,,70052286,Kicking and Screaming,Movie,2019,1
"Sally Field, Kiefer Sutherland, Ed Harris, Beverly D'Angelo, Charlayne Woodard, Joe Mantegna, Olivia Burnette, Alexandra Kyle, Keith David, Philip Baker Hall",United States,11/20/2019 12:00:00 AM,Grieving mother Karen McCann takes justice into her own hands when the man who raped and murdered her daughter is freed on a technicality.,John Schlesinger,101,"Dramas, Thrillers",11,R,1996,,60022413,Eye for an Eye,Movie,2019,1
"Kurt Russell, Halle Berry, John Leguizamo, Oliver Platt, Steven Seagal, Joe Morton, David Suchet, BD Wong, Len Cariou, Whip Hubley",United States,11/1/2019 12:00:00 AM,"When terrorists hijack a 747 and turn it into a nerve gas bomb aimed at Washington, D.C., commandos use an experimental plane to try to stop them.",Stuart Baird,133,Action & Adventure,11,R,1996,,485218,Executive Decision,Movie,2019,1
"Billy Bob Thornton, Dwight Yoakam, J.T. Walsh, John Ritter, Lucas Black, Natalie Canerday, James Hampton, Robert Duvall, Rick Dial, Brent Briscoe",United States,11/1/2019 12:00:00 AM,"A man returns home after being released from a psychiatric hospital, where he'd been confined since age 12 for murdering his mother and her lover.",Billy Bob Thornton,135,"Dramas, Independent Movies",11,R,1996,,973861,Sling Blade,Movie,2019,1
"Bill Bellamy, Natalie Desselle, Lark Voorhies, Mari Morrow, Pierre Edwards, Jermaine 'Huggy' Hopkins, Anthony Johnson, Max Julien, Beverly Johnson, Gilbert Gottfried, Bernie Mac",United States,11/1/2019 12:00:00 AM,"Dray lives life one woman at a time and is the envy of all his friends, until his sister decides to show him the error of his philandering ways.",Lionel C. Martin,94,Comedies,11,R,1997,,1179333,How to Be a Player,Movie,2019,1
"Charlie Sheen, Chris Tucker, Heather Locklear, Paul Sorvino, Gérard Ismaël, Damian Chapa, Elise Neal, Michael Wright, Veronica Cartwright",United States,11/1/2019 12:00:00 AM,"TV news reporter James Russell helps put small-time criminal Franklin Hatchett in jail, but turns to protecting Hatchett when he escapes from prison.",Brett Ratner,96,"Action & Adventure, Comedies",11,R,1997,,1179583,Money Talks,Movie,2019,1
"Larenz Tate, Nia Long, Isaiah Washington, Lisa Nicole Carson, Bill Bellamy, Leonard Roberts, Bernadette L. Clarke, Khalil Kain",United States,11/1/2019 12:00:00 AM,"In this urban romantic comedy set in Chicago, the ups and downs of courtship play out between a young black poet and a pretty shutterbug.",Theodore Witcher,109,"Comedies, Dramas, Independent Movies",11,R,1997,,1150871,Love Jones,Movie,2019,1
"Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana",United States,11/1/2019 12:00:00 AM,"After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment.",Kevin Reynolds,119,Dramas,11,R,1997,,26597413,187,Movie,2019,1
"Michael Douglas, Sean Penn, Deborah Kara Unger, James Rebhorn, Peter Donat, Carroll Baker, Anna Katarina, Armin Mueller-Stahl",United States,11/1/2019 12:00:00 AM,"Nicholas receives an unusual birthday present from his brother, Conrad – a gift certificate to play a unique kind of game formulated by ""CRS.""",David Fincher,129,Thrillers,11,R,1997,,1178866,The Game,Movie,2019,1
"Johnny Depp, Benicio Del Toro, Tobey Maguire, Ellen Barkin, Gary Busey, Christina Ricci, Mark Harmon, Cameron Diaz, Katherine Helmond, Michael Jeter, Craig Bierko, Lyle Lovett, Flea, Christopher Meloni, Harry Dean Stanton, Tim Thomerson",United States,11/1/2019 12:00:00 AM,A sportswriter and his Samoan lawyer embark on a hallucinogenic three-day romp from Los Angeles to Las Vegas in this counterculture cult favorite.,Terry Gilliam,118,"Comedies, Cult Movies, Dramas",11,R,1998,,11819434,Fear and Loathing in Las Vegas,Movie,2019,1
"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien, Ethan Suplee, Fairuza Balk, Avery Brooks, Elliott Gould, Stacy Keach, William Russ, Guy Torry",United States,11/1/2019 12:00:00 AM,A neo-Nazi gets sent to prison for murder and comes out a changed man. But can he prevent his younger brother from following in his footsteps?,Tony Kaye,119,Dramas,11,R,1998,,18002692,American History X,Movie,2019,1
"Matt Damon, Edward Norton, John Turturro, Gretchen Mol, Famke Janssen, John Malkovich, Martin Landau, Michael Rispoli, Josh Mostel, Tom Aldredge",United States,11/1/2019 12:00:00 AM,"A law student befriends and ""befoes"" a fellow gambling addict and a club owner, and tensions run high when they must come up with $15k in just 5 days.",John Dahl,121,Dramas,11,R,1998,,17236920,Rounders,Movie,2019,1
"Denzel Washington, John Goodman, Donald Sutherland, Embeth Davidtz, James Gandolfini, Elias Koteas, Gabriel Casseus, Michael J. Pagan, Robert Joy",United States,11/1/2019 12:00:00 AM,A tough homicide cop faces his most dangerous assignment when he must stop a murderous evil spirit who can move from one host to the next.,Gregory Hoblit,124,Thrillers,11,R,1998,,1192866,Fallen,Movie,2019,1
"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster, Joe Pantoliano, Marcus Chong, Julian Arahanga, Matt Doran, Belinda McClory",United States,11/1/2019 12:00:00 AM,"A computer hacker learns that what most people perceive as reality is actually a simulation created by machines, and joins a rebellion to break free.","Lilly Wachowski, Lana Wachowski",136,"Action & Adventure, Sci-Fi & Fantasy",11,R,1999,,20557937,The Matrix,Movie,2019,1
"Cate Blanchett, Giovanni Ribisi, Keanu Reeves, Katie Holmes, Greg Kinnear, Hilary Swank, Michael Jeter, Kim Dickens, Gary Cole, Rosemary Harris, J.K. Simmons, Chelcie Ross, John Beasley",United States,11/20/2019 12:00:00 AM,"When the authorities find a drowned woman's body, a small-town psychic starts having visions of who committed the murder.",Sam Raimi,112,"Dramas, Thrillers",11,R,2000,,60003508,The Gift,Movie,2019,1
"Robert De Niro, Edward Norton, Marlon Brando, Angela Bassett, Gary Farmer, Paul Soles, Jamie Harrold, Serge Houde","Germany, Canada, United States",11/28/2019 12:00:00 AM,"Ready-to-retire safecracker Nick, flamboyant fence Max and talented but volatile thief Jackie team up to rob the Montreal Customs House.",Frank Oz,124,"Dramas, Thrillers",11,R,2001,,60020826,The Score,Movie,2019,1
"Eileen Atkins, Bob Balaban, Alan Bates, Charles Dance, Stephen Fry, Michael Gambon, Richard E. Grant, Tom Hollander, Derek Jacobi, Kelly Macdonald, Helen Mirren, Jeremy Northam, Clive Owen, Ryan Phillippe, Maggie Smith, Geraldine Somerville, Kristin Scott Thomas, Sophie Thompson, Emily Watson, James Wilby","United States, United Kingdom, Italy",11/1/2019 12:00:00 AM,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",Robert Altman,137,"Comedies, Dramas, International Movies",11,R,2001,,60021796,Gosford Park,Movie,2019,1
"Wood Harris, Mekhi Phifer, Kevin Carroll, Esai Morales, Chi McBride, Cam'ron, Remo Greene, Cynthia Martells, Elise Neal, Regina Hall, Joyce Walker",United States,11/1/2019 12:00:00 AM,This fictionalized account of three real-life notorious Harlem drug dealers is told in flashbacks as they plunge into the world of hustling.,Charles Stone III,98,"Action & Adventure, Dramas",11,R,2002,,60023638,Paid in Full,Movie,2019,1
"Halle Berry, Robert Downey Jr., Charles S. Dutton, John Carroll Lynch, Bernard Hill, Penélope Cruz, Dorian Harewood, Bronwen Mantel","United States, France, Canada, Spain",11/1/2019 12:00:00 AM,"After a car crash, a criminal psychiatrist awakens to find that she's a patient in the same mental institution that currently employs her.",Mathieu Kassovitz,98,"Horror Movies, Thrillers",11,R,2003,,60031247,Gothika,Movie,2019,1
"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Jada Pinkett Smith, Mary Alice, Harold Perrineau, Monica Bellucci, Harry Lennix, Lambert Wilson, Nona Gaye",United States,11/1/2019 12:00:00 AM,The final installment in the Matrix trilogy finds an unconscious Neo trapped in a subway station in a zone between the Matrix and the machine world.,"Lilly Wachowski, Lana Wachowski",129,"Action & Adventure, Sci-Fi & Fantasy",11,R,2003,,60031303,The Matrix Revolutions,Movie,2019,1
"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Jada Pinkett Smith, Gloria Foster, Harold Perrineau, Monica Bellucci, Harry Lennix, Lambert Wilson, Randall Duk Kim, Nona Gaye",United States,11/1/2019 12:00:00 AM,"The crew must protect Zion, the last outpost still under human control, after it is pinpointed by the machines responsible for the Matrix.","Lilly Wachowski, Lana Wachowski",138,"Action & Adventure, Sci-Fi & Fantasy",11,R,2003,,60027695,The Matrix Reloaded,Movie,2019,1
"Benjamin Bratt, James Franco, Connie Nielsen, Marton Csokas, Joseph Fiennes, Motoki Kobayashi, Robert Mammone, Natalie Mendoza, Cesar Montano, James Carpinello, Mark Consuelos, Sam Worthington, Craig McLachlan, Max Martini, Clayne Crawford","United States, Australia",11/1/2019 12:00:00 AM,"In World War II, a battalion goes on a daring rescue mission to liberate the Americans and Filipinos who've been captured by the Japanese.",John Dahl,133,"Action & Adventure, Dramas",11,R,2005,,60033312,The Great Raid,Movie,2019,1
"Samuel L. Jackson, Christina Ricci, Justin Timberlake, S. Epatha Merkerson, John Cothran, David Banner, Michael Raymond-James, Adriane Lenox, Kim Richards, Neimus K. Williams",United States,11/20/2019 12:00:00 AM,"Lazarus finds Rae beaten and near death, and acts as a father figure to help redeem her. But before saving anyone, Lazarus must face his own demons.",Craig Brewer,116,"Dramas, Independent Movies",11,R,2007,,70053833,Black Snake Moan,Movie,2019,1
"Jodie Foster, Terrence Howard, Naveen Andrews, Carmen Ejogo, Nicky Katt, Mary Steenburgen, Lenny Venito, Zoë Kravitz, Jane Adams, Gordon MacDonald",United States,11/1/2019 12:00:00 AM,New York City radio host Erica Bain decides to take the law into her own hands after losing her fiancé in a brutal Central Park attack.,Neil Jordan,122,"Dramas, Thrillers",11,R,2007,,70060000,The Brave One,Movie,2019,1
"Mark Ruffalo, Jake Gyllenhaal, Robert Downey Jr., Anthony Edwards, Brian Cox, Elias Koteas, Donal Logue, John Carroll Lynch, Dermot Mulroney, Chloë Sevigny",United States,11/20/2019 12:00:00 AM,"A political cartoonist, a crime reporter and a pair of cops investigate San Francisco's infamous Zodiac Killer in this thriller based on a true story.",David Fincher,158,"Cult Movies, Dramas, Thrillers",11,R,2007,,70044686,Zodiac,Movie,2019,1
"Will Ferrell, John C. Reilly, Mary Steenburgen, Richard Jenkins, Adam Scott, Kathryn Hahn, Andrea Savage, Lurie Poston, Elizabeth Yozamp, Logan Manus, Rob Riggle",United States,11/1/2019 12:00:00 AM,"Brennan and Dale might be grown men, but that doesn't stop a childish sibling rivalry from erupting after Brennan's mom marries Dale's dad.",Adam McKay,98,Comedies,11,R,2008,,70093991,Step Brothers,Movie,2019,1
"Leonardo DiCaprio, Kate Winslet, Kathy Bates, Michael Shannon, Kathryn Hahn, David Harbour, Dylan Baker, Richard Easton, Zoe Kazan, Jay O. Sanders, Max Casella","United States, United Kingdom",11/1/2019 12:00:00 AM,"April and Frank's marriage unravels when a plan to change their ""perfect"" lives becomes their last hope to escape lives engulfed in emptiness.",Sam Mendes,120,"Dramas, Romantic Movies",11,R,2008,,70100383,Revolutionary Road,Movie,2019,1
"Daniel Craig, Liev Schreiber, Jamie Bell, Alexa Davalos, Allan Corduner, Mark Feuerstein, Tomas Arana, Jodhi May, Kate Fahy, Iddo Goldberg, George MacKay, Iben Hjejle, Martin Hancock, Jacek Koman, Ravil Isyanov",United States,11/27/2019 12:00:00 AM,"In this action-packed drama based on an extraordinary true story, four brothers protect more than 1,000 Jewish refugees during World War II.",Edward Zwick,137,"Action & Adventure, Dramas",11,R,2008,,70101696,Defiance,Movie,2019,1
"Jesse Eisenberg, Woody Harrelson, Emma Stone, Abigail Breslin, Amber Heard, Bill Murray, Derek Graf",United States,11/1/2019 12:00:00 AM,"Looking to survive in a world taken over by zombies, a dorky college student teams with an urban roughneck and a pair of grifter sisters.",Ruben Fleischer,88,"Comedies, Horror Movies",11,R,2009,,70123542,Zombieland,Movie,2019,1
"Jeremy Piven, Ving Rhames, James Brolin, David Koechner, Kathryn Hahn, Ed Helms, Jordana Spiro, Tony Hale, Ken Jeong, Rob Riggle, Kristen Schaal, Alan Thicke, Jonathan Sadowski, Joey Kern, Craig Robinson",United States,11/20/2019 12:00:00 AM,"Hired to rescue a flagging car dealership during a major sale, a fast-talking closer spends his days on the lot and his nights at local strip clubs.",Neal Brennan,89,Comedies,11,R,2009,,70105132,"The Goods: Live Hard, Sell Hard",Movie,2019,1
"Colin Firth, Julianne Moore, Nicholas Hoult, Ginnifer Goodwin, Matthew Goode, Paul Butler, Ryan Simpkins, Teddy Sears, Paulette Lamori, Jon Kortajarena",United States,11/11/2019 12:00:00 AM,This stream-of-consciousness drama centers on a day in the life of a gay college professor who's reeling from his longtime lover's recent death.,Tom Ford,100,"Dramas, Independent Movies, LGBTQ Movies",11,R,2009,,70117297,A Single Man,Movie,2019,1
"Sharlto Copley, Jason Cope, David James, Vanessa Haywood, Mandla Gaduka, Kenneth Nkosi, Eugene Khumbanyiwa, Louis Minnaar, William Allen Young, Nathalie Boltt","South Africa, United States, New Zealand, Canada",11/4/2019 12:00:00 AM,"After years of segregation and forced labor, a race of stranded aliens enlists in a resistance movement spearheaded by a rogue government agent.",Neill Blomkamp,112,"Action & Adventure, International Movies, Sci-Fi & Fantasy",11,R,2009,,70113005,District 9,Movie,2019,1
"Katie Holmes, Guy Pearce, Bailee Madison, Jack Thompson, Garry McDonald, Alan Dale, Julia Blake, Edwina Ritchard, Emilia Burns, Guillermo del Toro","United States, Australia, Mexico",11/2/2019 12:00:00 AM,Young Sally Hurst discovers she isn't alone in her new house: strange creatures live there – and they might not be as friendly as Sally thinks.,Troy Nixey,99,Horror Movies,11,R,2010,,70135899,Don't Be Afraid of the Dark,Movie,2019,1
"Paul Bettany, Lucas Black, Tyrese Gibson, Adrianne Palicki, Charles S. Dutton, Jon Tenney, Kevin Durand, Willa Holland, Kate Walsh, Dennis Quaid, Jeanette Miller, Cameron Harlow, Doug Jones, Josh Stamberg, Yancey Arias",United States,11/1/2019 12:00:00 AM,A motley crew of apocalypse survivors living at an abandoned truck stop never suspects that the pregnant woman among them is carrying the Messiah.,Scott Stewart,100,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",11,R,2010,,70117305,Legion,Movie,2019,1
"Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel, Nate Torrence, Krysten Ritter, Geoff Stults, Lindsay Sloane, Andrew Daly, Jasika Nicole, Kyle Bornheimer",United States,11/20/2019 12:00:00 AM,"When average-guy Kirk starts dating drop-dead-gorgeous Molly, his friends don't see it lasting, so Kirk does everything he can to avoid losing Molly.",Jim Field Smith,105,"Comedies, Romantic Movies",11,R,2010,,70117289,She's Out of My League,Movie,2019,1
"Charlize Theron, Patton Oswalt, Patrick Wilson, Elizabeth Reaser, Jill Eikenberry, Mary Beth Hurt, Collette Wolfe, Richard Bekins, Kate Nowlin",United States,11/20/2019 12:00:00 AM,"When a divorced writer gets a letter from an old boyfriend announcing his wife's had a baby, she returns to her hometown to reconnect with her ex.",Jason Reitman,94,"Comedies, Dramas, Independent Movies",11,R,2011,,70173046,Young Adult,Movie,2019,1
"Ryan Gosling, Carey Mulligan, Bryan Cranston, Christina Hendricks, Ron Perlman, Oscar Isaac, Albert Brooks, Kaden Leos, Jeff Wolfe, James Biberi",United States,11/16/2019 12:00:00 AM,A Hollywood stuntman and getaway driver is lured from his isolated life by a lovely neighbor – until her violent husband is released from prison.,Nicolas Winding Refn,100,"Action & Adventure, Dramas, Independent Movies",11,R,2011,,70189289,Drive,Movie,2019,1
"Fernanda Andrade, Simon Quarterman, Evan Helmuth, Ionut Grama, Suzan Crowley, Bonnie Morgan, Brian Johnson",United States,11/20/2019 12:00:00 AM,"At once spooky and grisly, this thriller follows a woman's quest to find the truth behind claims her mother killed three people during an exorcism.",William Brent Bell,84,"Horror Movies, Thrillers",11,R,2012,,70215455,The Devil Inside,Movie,2019,1
"Kristen Bell, Dax Shepard, Kristin Chenoweth, Tom Arnold, Bradley Cooper, Jess Rowland, Ryan Hansen, Beau Bridges, Michael Rosenbaum, David Koechner, Joy Bryant",United States,11/8/2019 12:00:00 AM,"Determined to get his fiancée to L.A. to take advantage of an amazing opportunity, Charlie breaks out of the witness protection program to drive her.","David Palmer, Dax Shepard",100,"Action & Adventure, Comedies, Romantic Movies",11,R,2012,,70243445,Hit & Run,Movie,2019,1
"Jake Gyllenhaal, Michael Peña, Natalie Martinez, Anna Kendrick, David Harbour, Frank Grillo, America Ferrera, Cle Sloan, Jaime FitzSimons, Cody Horn, Shondrella Avery, America Ferrara",United States,11/23/2019 12:00:00 AM,"Officers Taylor and Zavala patrol the streets of South Central Los Angeles, an area of the city ruled by gangs and riddled with drug violence.",David Ayer,109,Action & Adventure,11,R,2012,,70235384,End of Watch,Movie,2019,1
"Ignacia Allamand, Daryl Sabara, Nicolás Martínez, Lorenza Izzo, Ariel Levy, Magda Apanowicz, Sky Ferreira, Kirby Bliss Blanton, Aaron Burns, Ramón Llao, Richard Burgi","United States, Spain, Chile, Peru",11/16/2019 12:00:00 AM,"Determined to save an Amazon tribe being squeezed by logging, a group of students finds nothing but trouble when their plane crashes in the jungle.",Eli Roth,101,"Horror Movies, Independent Movies",11,R,2013,,70293315,The Green Inferno,Movie,2019,1
"Naomi Watts, Robin Wright, Xavier Samuel, James Frecheville, Ben Mendelsohn, Jessica Tovey, Sophie Lowe, Gary Sweet, Alyson Standen, Skye Sutherland, Sarah Henderson","Australia, France",11/20/2019 12:00:00 AM,"When lifelong friends Roz and Lil fall in love with each other's teenage sons, they must carry out their affairs in relative secrecy.",Anne Fontaine,111,"Dramas, Independent Movies, International Movies",11,R,2013,,70267398,Adore,Movie,2019,1
